pfam_number	Name	Description	Long_description	enzyme_annotation
PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	y
PF00587	tRNA-synt_2b	tRNA synthetase class II core domain (G, H, P, S and T)	tRNA-synt_2b is a family of largely threonyl-tRNA members.	y
PF00588	SpoU_methylase	SpoU rRNA Methylase family	This family of proteins probably use S-AdoMet. 	y
PF00589	Phage_integrase	Phage integrase family	Members of this family cleave DNA substrates by a series of staggered cuts, during which the protein becomes covalently linked to the DNA through a catalytic tyrosine residue at the carboxy end of the alignment. The catalytic site residues in CRE recombinase  (Swiss:P06956) are Arg-173, His-289, Arg-292 and Tyr-324.	m
PF00590	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases	This family uses S-AdoMet in the methylation of diverse substrates.  This family includes a related group of bacterial proteins of unknown function, including Swiss:P45528.          This family includes the methylase Dipthine synthase.	y
PF00596	Aldolase_II	Class II Aldolase and Adducin N-terminal domain	This family includes class II aldolases and adducins which have not been ascribed any enzymatic function.	y
PF00614	PLDc	Phospholipase D Active site motif	Phosphatidylcholine-hydrolysing phospholipase D (PLD) isoforms are activated by ADP-ribosylation factors (ARFs). PLD produces phosphatidic acid from phosphatidylcholine, which may be essential for the formation of certain types of transport vesicles or may be constitutive vesicular transport to signal transduction pathways.  PC-hydrolysing PLD is a homologue of cardiolipin synthase, phosphatidylserine synthase, bacterial PLDs, and viral proteins. Each of these appears to possess a domain duplication which is apparent by the presence of two motifs containing well-conserved histidine, lysine, and/or asparagine residues which may contribute to the active site. aspartic acid.  An E. coli endonuclease (nuc) and similar proteins appear to be PLD homologues but possess only one of these motifs. The profile contained here represents only the putative active site regions, since an accurate multiple alignment of the repeat units has not been achieved.	y
PF00623	RNA_pol_Rpb1_2	RNA polymerase Rpb1, domain 2	RNA polymerases catalyse the DNA dependent polymerisation of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases).  This domain, domain 2, contains the active site. The invariant motif -NADFDGD- binds the active site magnesium ion [1,2].	m
PF00625	Guanylate_kin	Guanylate kinase		y
PF00632	HECT	HECT-domain (ubiquitin-transferase)	The name HECT comes from Homologous to the E6-AP Carboxyl Terminus.	y
PF00636	Ribonuclease_3	Ribonuclease III domain		m
PF00639	Rotamase	PPIC-type PPIASE domain	Rotamases increase the rate of protein folding by catalysing the interconversion of cis-proline and trans-proline.	y
PF00644	PARP	Poly(ADP-ribose) polymerase catalytic domain	Poly(ADP-ribose) polymerase catalyses the covalent attachment of ADP-ribose units from NAD+ to itself and to a limited number of other DNA binding proteins, which decreases their affinity for DNA. Poly(ADP-ribose) polymerase is a regulatory component induced by DNA damage. The carboxyl-terminal region is the most highly conserved region of the protein. Experiments have shown that a  carboxyl 40 kDa fragment is still catalytically active [2].	m
PF00648	Peptidase_C2	Calpain family cysteine protease		m
PF00657	Lipase_GDSL	GDSL-like Lipase/Acylhydrolase		y
PF00665	rve	Integrase core domain	Integrase mediates integration of a DNA copy of the viral genome into the host chromosome.  Integrase is composed of three domains.  The amino-terminal domain is a zinc binding domain Pfam:PF02022.  This domain is the central catalytic domain. The carboxyl terminal domain that is a non-specific DNA binding domain Pfam:PF00552. The catalytic domain acts as an endonuclease when two nucleotides are removed from the 3' ends of the blunt-ended viral DNA made by reverse transcription. This domain also catalyses the DNA strand transfer reaction of the 3' ends of the viral DNA to the 5' ends of the integration site [1].	m
PF00668	Condensation	Condensation domain	This domain is found in many multi-domain enzymes which synthesise peptide antibiotics. This domain catalyses a condensation reaction to form peptide bonds in non- ribosomal peptide biosynthesis. It is usually found to the carboxy side of a phosphopantetheine binding domain (Pfam:PF00550). It has been shown that mutations in the HHXXXDG motif abolish activity suggesting this is part of the active site [1].	y
PF00677	Lum_binding	Lumazine binding domain	This domain binds to derivatives of lumazine  in some proteins. Some proteins have lost the residues involved in binding lumazine.	y
PF00680	RdRP_1	RNA dependent RNA polymerase		m
PF00685	Sulfotransfer_1	Sulfotransferase domain		y
PF00692	dUTPase	dUTPase	dUTPase hydrolyses dUTP to dUMP and pyrophosphate.	y
PF00693	Herpes_TK	Thymidine kinase from herpesvirus		y
PF00696	AA_kinase	Amino acid kinase family	This family includes kinases that phosphorylate a variety of amino acid substrates, as well as uridylate kinase and carbamate kinase. This family includes: Aspartokinase EC:2.7.2.4, Swiss:P00561. Acetylglutamate kinase EC:2.7.2.8, Swiss:Q07905. Glutamate 5-kinase EC:2.7.2.11, Swiss:P07005. Uridylate kinase EC:2.7.4.-, Swiss:P29464. Carbamate kinase EC:2.7.2.2, Swiss:O96432.	y
PF00697	PRAI	N-(5'phosphoribosyl)anthranilate (PRA) isomerase		y
PF00698	Acyl_transf_1	Acyl transferase domain		y
PF00701	DHDPS	Dihydrodipicolinate synthetase family	This family has a TIM barrel structure.	y
PF00703	Glyco_hydro_2	Glycosyl hydrolases family 2	This family contains beta-galactosidase, beta-mannosidase and beta-glucuronidase activities.	s
PF00704	Glyco_hydro_18	Glycosyl hydrolases family 18		s
PF00708	Acylphosphatase	Acylphosphatase		y
PF00709	Adenylsucc_synt	Adenylosuccinate synthetase		y
PF00710	Asparaginase	Asparaginase, N-terminal	This is the N-terminal domain of this enzyme.	y
PF00712	DNA_pol3_beta	DNA polymerase III beta subunit, N-terminal domain	A dimer of the beta subunit of DNA polymerase beta forms a ring which encircles duplex DNA.  Each monomer contains three domains of identical topology and DNA clamp fold.	m
PF00717	Peptidase_S24	Peptidase S24-like		y
PF00719	Pyrophosphatase	Inorganic pyrophosphatase		y
PF00722	Glyco_hydro_16	Glycosyl hydrolases family 16		s
PF00723	Glyco_hydro_15	Glycosyl hydrolases family 15	In higher organisms this family is represented by phosphorylase kinase subunits.	s
PF00724	Oxidored_FMN	NADH:flavin oxidoreductase / NADH oxidase family		y
PF00725	3HCDH	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	This family also includes lambda crystallin. Some proteins include two copies of this domain.	y
PF00730	HhH-GPD	HhH-GPD superfamily base excision DNA repair protein	This family contains a diverse range of structurally related DNA repair proteins. The superfamily is called the HhH-GPD family after its hallmark Helix-hairpin-helix and Gly/Pro rich loop followed by a conserved aspartate [2]. This includes endonuclease III, EC:4.2.99.18 and MutY an A/G-specific adenine glycosylase, both have a C terminal 4Fe-4S cluster. The family also includes 8-oxoguanine DNA glycosylases such as Swiss:P53397. The methyl-CPG binding protein MBD4 Swiss:Q9Z2D7 also contains a related domain [1] that is a thymine DNA glycosylase. The family also includes DNA-3-methyladenine glycosylase II EC:3.2.2.21 and other members of the AlkA family.	y
PF00731	AIRC	AIR carboxylase	Members of this family catalyse the decarboxylation of 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR). This family catalyse the sixth step of de novo purine biosynthesis. Some members of this family contain two copies of this domain.	y
PF00733	Asn_synthase	Asparagine synthase	This family is always found associated with Pfam:PF00310. Members of this family catalyse the conversion of aspartate to asparagine.	y
PF00742	Homoserine_dh	Homoserine dehydrogenase		y
PF00743	FMO-like	Flavin-binding monooxygenase-like	This family includes FMO proteins, cyclohexanone mono-oxygenase and a number of different mono-oxygenases.	y
PF00749	tRNA-synt_1c	tRNA synthetases class I (E and Q), catalytic domain	Other tRNA synthetase sub-families are too dissimilar to be included. This family includes only glutamyl and glutaminyl tRNA synthetases. In some organisms, a single glutamyl-tRNA synthetase aminoacylates both tRNA(Glu) and tRNA(Gln).	y
PF00755	Carn_acyltransf	Choline/Carnitine o-acyltransferase		y
PF00756	Esterase	Putative esterase	This family contains Esterase D Swiss:P10768. However it is not clear if all members of the family have the same function.  This family is related to the Pfam:PF00135 family.	y
PF00759	Glyco_hydro_9	Glycosyl hydrolase family 9		s
PF00762	Ferrochelatase	Ferrochelatase		y
PF00763	THF_DHG_CYH	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain		y
PF00764	Arginosuc_synth	Arginosuccinate synthase	This family contains a PP-loop motif [1].	y
PF00765	Autoind_synth	Autoinducer synthase		y
PF00770	Peptidase_C5	Adenovirus endoprotease	This family of adenovirus thiol endoproteases specifically cleave Gly-Ala peptides in viral precursor peptides.	m
PF00773	RNB	RNB domain	This domain is the catalytic domain of ribonuclease II [1].	m
PF00775	Dioxygenase_C	Dioxygenase		y
PF00777	Glyco_transf_29	Glycosyltransferase family 29 (sialyltransferase)	Members of this family belong to glycosyltransferase family 29 [1].	s
PF00781	DAGK_cat	Diacylglycerol kinase catalytic domain	Diacylglycerol (DAG) is a second messenger that acts as a protein kinase C activator. The catalytic domain is assumed from the finding of bacterial homologues. YegS is the Escherichia coli protein in this family whose crystal structure reveals an active site in the inter-domain cleft formed by four conserved sequence motifs, revealing a novel metal-binding site. The residues of this site are conserved across the family [5].	y
PF00792	PI3K_C2	Phosphoinositide 3-kinase C2	Phosphoinositide 3-kinase region postulated to contain a C2 domain. Outlier of Pfam:PF00168 family. 	y
PF00793	DAHP_synth_1	DAHP synthetase I family	Members of this family catalyse the first step in aromatic amino acid biosynthesis from chorismate. E-coli has three related synthetases, which are inhibited by different aromatic amino acids. This family also includes KDSA which has very similar catalytic activity but is involved in the first step of liposaccharide biosynthesis. The enzyme is also part of the shikimate pathway, EC:2.5.1.54.	y
PF00795	CN_hydrolase	Carbon-nitrogen hydrolase	This family contains hydrolases that break carbon-nitrogen bonds [1].  The family includes: Nitrilase EC:3.5.5.1 Swiss:Q42965, Aliphatic amidase EC:3.5.1.4 Swiss:Q01360, Biotidinase EC:3.5.1.12 Swiss:P43251, Beta-ureidopropionase EC:3.5.1.6 Swiss:Q03248.  Nitrilase-related proteins generally have a conserved E-K-C catalytic triad, and are multimeric alpha-beta-beta-alpha sandwich proteins [2].	y
PF00796	PSI_8	Photosystem I reaction centre subunit VIII		e
PF00797	Acetyltransf_2	N-acetyltransferase	Arylamine N-acetyltransferase (NAT) is a cytosolic enzyme of approximately 30kDa. It facilitates the transfer of an acetyl group from Acetyl Coenzyme A on to a wide range of arylamine, N-hydroxyarylamines and hydrazines. Acetylation of these compounds generally results in inactivation. NAT is found in many species from Mycobacteria (M. tuberculosis, M. smegmatis etc) to man. It was the first enzyme to be observed to have polymorphic activity amongst human individuals. NAT is responsible for the inactivation of Isoniazid (a drug used to treat Tuberculosis) in humans. The NAT protein has also been shown to be involved in the breakdown of folic acid.	y
PF00800	PDT	Prephenate dehydratase	This protein is involved in Phenylalanine biosynthesis. This protein catalyses the decarboxylation of prephenate to phenylpyruvate.	y
PF00814	Peptidase_M22	Glycoprotease family	The Peptidase M22 proteins are part of the HSP70-actin superfamily ([1]). The region represented here is an insert into the fold and is not found in the rest of the family (beyond the Peptidase M22 family). Included in this family are the Rhizobial NodU proteins and the HypF regulator. This region also contains the histidine dyad believed to coordinate the metal ion and hence provide catalytic activity. Interestingly the histidines are not well conserved, and there is a lack of experimental  evidence to support peptidase activity as a general  property of this family. There also appear to be instances of this domain outside of the HSP70-actin superfamily (e.g. Swiss:Q9ZM49).	m
PF00815	Histidinol_dh	Histidinol dehydrogenase		y
